daunting	['dɔ:ntɪŋ]	adj. 使人畏缩的,使人气馁的,令人怯步的
gravitate	['grævɪteɪt]	vi. 受引力作用,被吸引
impediment	[ɪm'pedɪm(ə)nt]	n. 口吃,妨碍,阻止
stricture	['strɪktʃə]	n. 狭窄,苛评,非难
passive	['pæsɪv]	n. 被动语态adj. 被动的,消极的,被动语态的
aspiring	[ə'spaɪərɪŋ]	v. 立志（aspire的ing形式）adj. 有抱负的,追求…的,高耸的
pinnacle	['pɪnək(ə)l]	n. 高峰,小尖塔,尖峰,极点vt. 造小尖塔,置于尖顶上,置于高处
weighty	['weɪtɪ]	adj. 重的,重大的,严肃的
prowess	['praʊɪs]	n. 英勇,超凡技术,勇猛
peasant	['pez(ə)nt]	n. 农民,乡下人
pyre	[paɪə]	n. 火葬用的柴堆n. (Pyre)人名,(芬)皮雷
vow	[vaʊ]	n. 发誓,誓言,许愿vt. 发誓,郑重宣告vi. 发誓,郑重宣告
corpse	[kɔːps]	n. 尸体
stronghold	['strɔŋhold]	n. 要塞,大本营,中心地
swear	[sweə]	vt. 发誓,咒骂vi. 发誓,宣誓,诅咒n. 宣誓,诅咒
dawn	[dɔːn]	n. 黎明,开端vt. 破晓,出现,被领悟n. (Dawn)人名,(西)道恩
dusk	[dʌsk]	n. 黄昏,薄暮,幽暗,昏暗adj. 微暗的vt. 使变微暗vi. 变微暗
anvil	['ænvɪl]	n. 铁砧,[解剖] 砧骨
gutter	['gʌtə]	n. 排水沟,槽,贫民区vi. 流,形成沟vt. 开沟于…,弄熄adj. 贫贱的,粗俗的,耸人听闻的n. (Gutter)人名,(罗)古特尔,(英)格特
admiration	[ædmə'reɪʃ(ə)n]	n. 钦佩,赞赏,羡慕,赞美
mutual	['mjuːtʃʊəl; -tjʊəl]	adj. 共同的,相互的,彼此的
befriend	[bɪ'frend]	vt. 帮助,待人如友,扶助
whispering	['hwɪspərɪŋ]	n. 低语,流言,飒飒声adj. 传播流言蜚语的,发飒飒声的（等于whispery）
flatter	['flætə]	vt. 奉承,谄媚,使高兴
gash	[gæʃ]	n. 很深的裂缝,砍得很深的伤口vt. 划开,砍入很深,（使）负深伤n. (Gash)人名,(英)加什
castrate	[kæ'streɪt; 'kæstreɪt]	vt. 阉割,删除,去掉最重要的部分,使丧失力量
sneer	[snɪə]	vi. 嘲笑,冷笑vt. 嘲笑,冷笑n. 嘲笑,冷笑
aberrant	[ə'ber(ə)nt]	adj. 异常的,畸变的,脱离常轨的,迷乱的
conformance	[kən'fɔːm(ə)ns]	n. 一致性,顺应
detritus	[dɪ'traɪtəs]	n. 碎石,[地质] 岩屑
notoriously	[nəu'tɔ:riəsli]	adv. 众所周知地,声名狼藉地,恶名昭彰地
locus	['ləʊkəs]	n. [数] 轨迹,地点,所在地
derivative	[dɪ'rɪvətɪv]	n. [化学] 衍生物,派生物,导数adj. 派生的,引出的
reconcile	['rek(ə)nsaɪl]	vt. 使一致,使和解,调停,调解,使顺从
topple	['tɒp(ə)l]	vt. 推翻,颠覆,使倒塌vi. 倾倒,倒塌,摇摇欲坠n. (Topple)人名,(英)托佩尔
perversity	[pə'vɜːsɪtɪ]	n. 邪恶,任性,性变态
conforming	[kən'fɔ:miŋ]	v. 符合（conform的ing形式）,遵照adj. 一致性的,遵守的
closure	['kləʊʒə]	n. 关闭,终止,结束vt. 使终止
cosmetic	[kɒz'metɪk]	n. 化妆品,装饰品adj. 美容的,化妆用的
volatility	[,vɒlə'tɪlətɪ]	n. [化学] 挥发性,易变,活泼
collocate	['kɒləkeɪt]	vt. 布置,排列,使成搭配vi. 搭配,组合
decomposition	[,diːkɒmpə'zɪʃn]	n. 分解,腐烂,变质
counterintuitive	[,kaʊntərɪn'tjuːɪtɪv]	adj. 违反直觉的
inescapable	[ɪnɪ'skeɪpəb(ə)l; ɪne-]	adj. 不可避免的,逃脱不了的
volatile	['vɒlətaɪl]	n. 挥发物,有翅的动物adj. [化学] 挥发性的,不稳定的,爆炸性的,反复无常的n. (Volatile)人名,(意)沃拉蒂莱
reinstate	[riːɪn'steɪt]	vt. 使恢复,使复原
geometrically	[,dʒiə'metrikəli]	adv. 用几何学,几何学上地,按几何级数地
intolerable	[ɪn'tɒl(ə)rəb(ə)l]	adj. 无法忍受的,难耐的
chagrin	['ʃægrɪn; ʃə'grɪn]	n. 懊恼,委屈,气愤vt. 使…懊恼n. (Chagrin)人名,(英)沙格兰
syndrome	['sɪndrəʊm]	n. [临床] 综合症状,并发症状,校验子,并发位n. (Syndrome)人名,(英)辛德罗姆
utterly	['ʌtəlɪ ]	adv. 完全地,绝对地,全然地,彻底地,十足地
at the mercy of	[]	受…支配
nightmarish	['naɪt,mɛrɪʃ]	adj. 可怕的,恶梦似的,不愉快的
impinge	[ɪm'pɪn(d)ʒ]	vi. 撞击,侵犯vt. 撞击
nontrivial	[nɒn'trɪvɪəl]	adj. 非平凡的
maturity	[mə'tʃʊərətɪ]	n. 成熟,到期,完备
put another way	[]	换句话说
sound bite	[]	（新闻采访的）原声摘要播出
overarching	[,əʊvər'ɑːtʃɪŋ]	adj. 首要的,支配一切的,包罗万象的v. 成拱形（overarch的ing形式）
hodgepodge	['hɒdʒpɒdʒ]	n. 大杂烩,混煮,一团糟vt. 使混乱
in hindsight	[]	事后的领悟后见之明回想
ridiculously	[ri'dikjuləsli]	adv. 可笑地,荒谬地
along came	[]	随之而来（came是come的过去式）
contender	[kən'tendə]	n. 竞争者,争夺者
thwarted	[]	v. 挫败（thwart的过去分词）,反对adj. 挫败的
fragmentation	[frægmen'teɪʃ(ə)n]	n. 破碎,分裂,[计] 存储残片
allotted	[ə'lɔtid]	v. 分配,指派,拨给（allot的过去分词）adj. 专款的,拨出的
granule	['grænjuːl]	n. 颗粒
undesirable	[ʌndɪ'zaɪərəb(ə)l]	n. 不良分子,不受欢迎的人adj. 不良的,不受欢迎的,不合需要的
rigid	['rɪdʒɪd]	adj. 严格的,僵硬的,死板的,坚硬的,精确的
boils down to	[]	归结为
capricious	[kə'prɪʃəs]	adj. 反复无常的,任性的
in particular	[]	尤其,特别
concretion	[kən'kriːʃ(ə)n]	n. 结石,凝固,凝固物
lurk	[lɜːk]	n. 潜伏,埋伏vi. 潜伏,潜藏,埋伏
critically	['krɪtɪklɪ]	adv. 精密地,危急地,严重地,批评性地,用钻研眼光地,很大程度上,极为重要地
inadvertently	[,ɪnəd'vɜːt(ə)ntlɪ]	adv. 非故意地,无心地
not to mention	[]	更不必说,不必提及
recoil	[rɪ'kɒɪl]	vi. 畏缩,弹回,报应n. 畏缩,弹回,反作用
unidirectional	[,juːnɪdɪ'rekʃ(ə)n(ə)l; ,juːnɪdaɪ-]	adj. 单向的,单向性的
conceivable	[kən'siːvəb(ə)l]	adj. 可能的,想得到的,可想像的
livid	['lɪvɪd]	adj. 铅色的,青灰色的,非常生气的
gist	[dʒɪst]	n. 主旨,要点,依据n. (Gist)人名,(英)吉斯特
thereabouts	['ðeərəbaʊts; -'baʊts]	adv. 大约,在那附近（等于thereabout）
sentimental	[sentɪ'ment(ə)l]	adj. 伤感的,多愁善感的,感情用事的,寓有情感的
extremist	[ɪk'striːmɪst; ek-]	n. 极端主义者,过激分子
entitlement	[ɪn'taɪt(ə)lmənt]	n. 权利,津贴
contrivance	[kən'traɪv(ə)ns]	n. 发明,发明物,想出的办法,计谋
inexorably	[]	adv. 不可逆转地,不可阻挡地adv. 无情地,冷酷地
track  down	[]	追捕
devilishly	[]	adv. 像魔鬼地,过分地
convention	[kən'venʃ(ə)n]	n. 大会,[法] 惯例,[计] 约定,[法] 协定,习俗
considerably	[kən'sɪd(ə)rəblɪ]	adv. 相当地,非常地
trickery	['trɪk(ə)rɪ]	n. 欺骗,诡计,奸计
cohesive	[kəʊ'hiːsɪv]	adj. 凝聚的,有结合力的,紧密结合的,有粘着力的
albeit	[ɔːl'biːɪt]	conj. 虽然,即使
peter	['piːtə]	vi. 逐渐消失,耗尽vt. 使…精疲力竭n. 麻醉品,保险箱
laborious	[lə'bɔːrɪəs]	adj. 勤劳的,艰苦的,费劲的
divide-and-conquer	[]	分而治之
restaurant	[ˈrestrɒnt]	n. 餐馆,[经] 饭店
slack	[slæk]	adj. 松弛的,疏忽的,不流畅的vi. 松懈,减弱n. 煤末,峡谷vt. 放松,使缓慢adv. 马虎地,缓慢地n. (Slack)人名,(英)斯莱克
forethought	['fɔːθɔːt]	n. 深谋远虑,先见,考虑将来adj. 预先计划好的
bear out	[]	证实,支持
free of	[]	adj. 无…的,摆脱…的,在…外面
litmus test	[]	石蕊试验,立见分晓的检验办法
grunt work	[]	.简单的,枯燥乏味的工作会使人感到非常疲劳的繁重的体力劳动。
tear down	[]	v. 扯下,诋毁,拆卸,逐条驳斥
actuator	['æktjʊeɪtə]	n. [自] 执行机构,激励者,促动器
splash screen	[]	启动画面（等于版权页）,飞溅屏幕
from scratch	[]	白手起家,从头做起
hook up	[]	勾搭某人,与某人来往,搭档工作
up to this point	[]	到目前为止
supplant	[sə'plɑːnt]	vt. 代替,排挤掉
masquerading	[]	n. 伪装,冒充
menial	['miːnɪəl]	n. 仆人,住家佣工,下贱的人adj. 卑微的,仆人的,适合仆人做的
grapple	['græp(ə)l]	n. 抓住,格斗vi. 抓住,格斗,抓斗机vt. 抓住,与…格斗
premature	['premətjʊə]	n. 早产儿,过早发生的事物adj. 早产的,不成熟的,比预期早的
ephemeral	[ɪ'fem(ə)r(ə)l; -'fiːm-]	adj. 短暂的,朝生暮死的n. 只生存一天的事物
come in	[]	进来,到达,流行起来
get the hang	[]	熟悉（非正式）掌握（非正式）
pros and cons	[]	正反两方面,赞成者和反对者
stringent	['strɪn(d)ʒ(ə)nt]	adj. 严格的,严厉的,紧缩的,短缺的
nuts and bolts	[]	具体细节,基本要素
corrective	[kə'rektɪv]	n. 矫正物,改善法adj. 矫正的,惩治的
in place of	[]	代替
justifiably	['dʒʌstifaiəbli]	adv. 言之有理地, 无可非议地
no amount of	[]	即使再大（或再多）的…（也不）
at the end of the day	[]	最终,到头来,不管怎么说
get the hang of	[]	得知……的窍门,熟悉某物的用法,理解某事,摸清概况,鉴赏
farfetched	['fa:'fetʃt]	adj. 牵强的,乱七八糟的,靠不住的
courteous	['kɜːtjəs]	adj. 有礼貌的,谦恭的
the lesser of two evils	[]	两害相权取其轻
ailing	['eɪlɪŋ]	adj. 生病的,身体不舒服的,体衰的v. 生病,苦恼（ail的ing形式）
silver lining	[]	（不幸或失望中的）一线希望,乌云周围的白光
marginally	['mɑːdʒɪn(ə)lɪ]	adv. 少量地,最低限度地,在栏外,在页边
recession	[rɪ'seʃ(ə)n]	n. 衰退,不景气,后退,凹处
to date	[]	至今,迄今为止
ad infinitum	[,ædinfi'naitəm]	无限地,永久地,无止境地
coined	[]	v. 杜撰（新词等）（coin的过去分词）,铸造（硬币）
drudgery	['drʌdʒərɪ]	n. 苦工,苦差事
revolution	[revə'luːʃ(ə)n]	n. 革命,旋转,运行,循环
squint	[skwɪnt]	vi. 斜视,患斜视,倾向n. 看vt. 使斜视adj. 斜视的
practically	['præktɪk(ə)lɪ]	adv. 实际地,几乎,事实上
couplets	[]	n. 对联（couplet复数）
adage	['ædɪdʒ]	n. 格言,谚语,箴言
conventional	[kən'venʃ(ə)n(ə)l]	adj. 符合习俗的,传统的,常见的,惯例的
stakeholder	[ˈsteɪkhəʊldə(r)]	n. 利益相关者,赌金保管者
dilemma	[dɪ'lemə; daɪ-]	n. 困境,进退两难,两刀论法
deluded	[di'lu:did]	v. 欺骗,使失望（delude的过去分词）adj. 轻信的,受蒙骗的
a matter of	[]	大约,…的问题
relent	[rɪ'lent]	v. 再借给（relend的过去分词）vt. 使变温和,减轻vi. 变温和,变宽厚,减弱,缓和
sap	[sæp]	n. [植] 树液,精力,元气,活力,坑道vt. 使衰竭,使伤元气,挖掘以破坏基础vi. 挖坑道n. (Sap)人名,(柬)萨,(越)插
The more haste, the less speed.	[]	欲速则不达。
divert	[daɪ'vɜːt; dɪ-]	vt. 转移,使…欢娱,使…转向vi. 转移n. (Divert)人名,(法)迪韦尔
heroic	[hɪ'rəʊɪk]	n. 史诗,英勇行为adj. 英雄的,英勇的,记叙英雄及其事迹的,夸张的
frustrating	[frʌ'streɪtɪŋ]	v. 使沮丧（frustrate的ing形式）adj. 令人沮丧的
tremendously	[tri'mendəsli]	adv. 非常地,可怕地,惊人地
bottom out	[]	降到最低点
asymptotic	[,æsɪmp'tɒtɪk]	adj. 渐近的,渐近线的
a fraction of	[]	一小部分,一部分,零点几
hoards of	[]	大量的
from then on	[]	从那时起
to that end	[]	为了那个目的
fine print	[]	（契约中）难懂的条文,极小的字体
hinges on	[]	*
just over	[]	比…稍高,稍多于刚刚结束
call in	[]	召集,召来
intuitively	[in'tju:itivli]	adv. 直观地,直觉地
nothing more than	[]	不过是,无非是
fine-tune	['faintju:n]	vt. 调整,使有规则,对进行微调
on your behalf	[]	以你的名义代表你
ad-hoc	[]	专门
coerce	[kəʊ'ɜːs]	vt. 强制,迫使
cumbersome	['kʌmbəs(ə)m]	adj. 笨重的,累赘的,难处理的
as is	[]	照原来的样子,本来就是这样,不予改变
one-off	[,wʌn'ɒf]	n. 一次性事物adj. 一次性的
opt-in	[]	n. 选择性加入
one-stop	['wʌn,stɑp]	adj. 一站式的,（美）能提供各种商品的
back then	[]	那时候当时
lemma	['lemə]	n. 引理,辅助定理,论点,膜n. (Lemma)人名,(俄)莱玛,(意、埃塞)莱马复数lemmas或 lemmata
corollary	[kə'rɒlərɪ]	n. 推论,必然的结果复数corollaries
proof	[pruːf]	n. 证明,证据,校样,考验,验证,试验adj. 防…的,不能透入的,证明用的,耐…的vt. 试验,校对,使不被穿透
crude	[kruːd]	n. 原油,天然的物质adj. 粗糙的,天然的,未加工的,粗鲁的
fragile	['frædʒaɪl]	adj. 脆的,易碎的
unceasing	[ʌn'siːsɪŋ]	adj. 不断的,不停的
unabashedly	[,ʌnə'bæʃtli]	adv. 不害臊地,不怕羞地
head on	[]	迎面地
furious	['fjʊərɪəs]	adj. 激烈的,狂怒的,热烈兴奋的,喧闹的
start over	[]	重新开始
creeping	['kriːpɪŋ]	n. 爬行,杀小兵赚钱升级（游戏术语）v. 爬行,慢慢地移动（creep的现在分词）adj. 爬行的,迟缓的,毛骨悚然的,奉承的
a horde of	[]	一群
abate	[ə'beɪt]	vt. 减轻,减少,废除vi. 减轻,失效n. (Abate)人名,(英、意、法、埃塞)阿巴特
buy into	[]	v. 买进,入股
far from it	[]	远非如此
